checked,is_technic,is_electric,is_train,set_num,name,year,theme_id,num_parts,comment
1,1,1,0,45301-1,WeDo 2.0 Smart Hub,2016,521,1,///!!!
1,1,1,0,45302-1,WeDo 2.0 Smart Hub Rechargeable Battery,2016,521,1,///!!!
1,1,1,0,45303-1,WeDo 2.0 Medium Motor,2016,521,1,///!!!
1,1,1,0,45304-1,WeDo 2.0 Motion Sensor,2016,521,1,///!!!
1,1,1,0,45305-1,WeDo 2.0 Tilt Sensor,2016,521,1,///!!!
1,1,1,0,45345-1,SPIKE Essential,2021,507,448,///!!!
1,1,1,0,45400-1,BricQ Motion Prime,2021,507,561,///!!!
1,1,1,0,45401-1,BricQ Motion Essential,2021,507,523,///!!!The Ramp!!!
1,1,1,0,45500-1,EV3 Intelligent Brick,2013,262,1,///!!!
1,1,1,0,45501-1,EV3 Rechargeable DC Battery,2013,262,1,///!!!
1,1,1,0,45502-1,EV3 Large Servo Motor,2013,262,1,///!!!
1,1,1,0,45503-1,EV3 Medium Servo Motor,2013,262,1,///!!!
1,1,1,0,45504-1,EV3 Ultrasonic Sensor,2013,262,1,///!!!
1,1,1,0,45505-1,EV3 Gyro Sensor,2013,262,1,///!!!
1,1,1,0,45506-1,EV3 Color Sensor,2013,262,1,///!!!
1,1,1,0,45507-1,EV3 Touch Sensor,2013,262,1,///!!!
1,1,1,0,45508-1,EV3 Infrared Beacon,2013,262,1,///!!!
1,1,1,0,45509-1,EV3 Infrared Sensor,2013,262,1,///!!!
1,1,1,0,45514-1,EV3 Cable Pack,2013,262,7,///!!!
1,1,1,0,45544-1,EV3 Core Set,2013,518,547,///!!!
1,1,1,0,45560-1,EV3 Expansion Set,2013,518,856,///!!!Bucket of Sheer Excitement
1,1,1,0,45570-1,Space Challenge Set,2014,518,1412,///!!!The Ramp!!!
1,1,1,0,45601-1,Large Hub,2020,529,2,//////!!!!!!
1,1,1,0,45602-1,Large Angular Motor,2020,529,1,///!!!
1,1,1,0,45603-1,Medium Angular Motor,2020,529,1,///!!!
1,1,1,0,45604-1,Distance Sensor,2020,529,1,///!!!
1,1,1,0,45605-1,Color Sensor,2020,529,1,///!!!
1,1,1,0,45606-1,Force Sensor,2020,529,1,///!!!
1,1,1,0,45607-1,Small Angular Motor,2021,529,1,///!!!Rare!!!
1,1,1,0,45608-1,3×3 Color Light Matrix,2021,529,1,///!!!Rare!!!
1,1,1,0,45609-1,Small Hub,2021,529,2,///!!!Rare!!!
1,1,1,0,45610-1,Large Hub Battery,2020,529,1,///!!!
1,1,1,0,45612-1,Small Hub Battery,2021,529,1,///!!!Rare!!!
1,1,1,0,45678-1,SPIKE Prime,2020,507,533,///!!!
1,1,1,0,45680-1,SPIKE Prime Expansion Set,2020,507,603,///!!!
1,1,1,0,45681-1,SPIKE Prime Expansion Set (v2),2021,507,604,///!!!
1,1,1,0,4589-1,RC-Nitro Flash,2002,112,139,///!!!
1,1,1,0,5003403-1,NXT Homeschool Pack,2011,519,1,///!!!
1,1,1,0,5003407-1,Homeschool NXT with Resource Set,2014,519,1,///!!!
1,1,1,0,5003417-1,WeDo Homeschool Pack,2014,521,1,///!!!
1,1,1,0,5003423-1,WeDo Combo,2014,521,1,///!!!
1,1,1,0,5003424-1,Homeschool Renewable Energy Extension Pack,2014,532,1,///!!!Tachometer Brick
1,1,1,0,5003475-1,WeDo Homeschool Expansion Pack,2014,521,2,///!!!
1,1,1,0,5003476-1,Homeschool Simple and Motorized Mechanisms Renewable Energy Bundle,2014,529,2,///!!!
1,1,1,0,5003477-1,Homeschool Simple and Motorized Mechanisms Pneumatics Bundle,2016,529,2,///!!!
1,1,1,0,5003479-1,EV3 Homeschool with Design Engineering Projects Pack,2016,518,2,///!!!
1,1,1,0,5003480-1,EV3 Homeschool Combo Pack,2013,518,0,///!!!
1,1,1,0,5100-1,TECHNIC Battery Box,1987,453,1,
1,1,1,0,5101-1,4.5v TECHNIC Motor,1987,453,1,
1,1,1,0,51515-1,Robot Inventor,2020,258,949,///!!!
1,1,1,0,5206-1,Speed Computer,2000,19,19,///!!!
1,1,1,0,66194-1,City Super Pack,2007,56,0,//Crane
1,1,1,0,66318-1,Technic Super Pack 4 in 1,2009,1,0,///!!!
1,1,1,0,66359-1,Technic Super Pack 4 in 1,2010,1,0,//Crane
1,1,1,0,66397-1,Technic Super Pack 4 in 1,2011,1,0,
1,1,1,0,66433-1,Technic Super Pack 3 in 1,2012,1,0,
1,1,1,0,673F-1,Gearbox Pack,2004,112,6,///!!!
1,1,1,0,7099-1,Accessory Motor for Boats,2004,279,1,///!!!They come in Orange?
1,1,1,0,72006-1,Axl's Rolling Arsenal,2018,605,603,///!!!
1,1,1,0,7216-1,Gold Good Guy - looking Right (Duracell 8 pack AA) {Turaga Lhikan},2006,324,22,
1,1,1,0,7216-2,Gold Good Guy - looking Left (Duracell 12 pack AA) {Turaga Lhikan},2006,324,22,
1,1,1,0,7216-3,Gold Good Guy - looking Right (Duracell 12 pack AA) {Turaga Lhikan},2006,324,22,
1,1,1,0,7217-1,Braca (Duracell 12 pack AA battery promotion),2006,324,16,
1,1,1,0,7217-2,Braca (Duracell 8 pack AA battery promotion),2006,324,16,
1,1,1,0,744-1,Universal Building Set,1980,469,540,///!!!
1,1,1,0,75288-1,AT-AT,2020,158,1267,//Classic
1,1,1,0,7685-1,Dozer,2009,56,352,
1,1,1,0,800-1,Gear Set with Motor,1970,472,120,
1,1,1,8041-1,Race Truck,2010,1,608,
1,1,1,0,8043-1,Motorized Excavator,2010,1,1127,///!!!
1,1,1,0,8050-1,Universal Building Set,1982,21,142,
1,1,1,0,8052-1,Container Truck,2010,1,686,///!!!
1,1,1,0,8053-1,Mobile Crane,2010,1,1289,
1,1,1,0,8054-1,Universal Building Set,1989,21,196,
1,1,1,0,8055-1,Universal Building Set with Motor,1986,21,188,
1,1,1,0,8063-1,Tractor with Trailer,2009,1,1100,
1,1,1,0,8064-1,Motorized Universal Building Set,1990,21,221,
1,1,1,0,8070-1,Supercar,2011,1,1281,///!!!
1,1,1,0,8071-1,Lift Truck,2011,1,593,///!!!
1,1,1,0,8081-1,Extreme Cruiser,2011,1,590,///!!!
1,1,1,0,8082-1,Universal Building Set,1993,21,460,///!!!Multiple Controls
1,1,1,0,8094-1,TECHNIC Control Centre,1990,21,549,///!!!Control Panels
1,1,1,0,8108-1,Mobile Devastator,2007,389,1009,///!!!Combined with Mindstorms a lot
1,1,1,0,8109-1,Flatbed Truck,2011,1,1115,///!!!
1,1,1,0,8110-1,Unimog U400,2011,1,2048,///!!!Crane
1,1,1,0,8145-1,Ferrari 599 GTB Fiorano 1:10,2007,114,1326,
1,1,1,0,8146-1,Nitro Muscle,2007,112,598,///!!!
1,1,1,0,8157-1,Ferrari F1 1:9,2009,114,997,///!!!
1,1,1,0,8183-1,Track Turbo RC,2009,112,92,///!!!
1,1,1,0,8184-1,Twin X-treme RC,2009,112,239,///!!!
1,1,1,0,8258-1,Crane Truck,2009,1,1877,///!!!Crane
1,1,1,0,8266-1,Spyder Slayer,1998,3,368,
1,1,1,0,8268-1,Scorpion Attack,1999,3,79,
1,1,1,0,8269-1,Competition Ultra Challenge [aka Cyber Stinger],1999,3,329,
1,1,1,0,8273-1,Off Road Truck,2007,1,805,///!!!
1,1,1,0,8274-1,Combine Harvester,2007,1,1025,///!!!
1,1,1,0,8275-1,Motorized Bulldozer,2007,1,1381,
1,1,1,0,8284-1,Tractor / Dune Buggy,2006,1,872,
1,1,1,0,8285-1,Tow Truck,2006,1,1879,///!!!
1,1,1,0,8287-1,Motor Box,2006,19,93,///!!!Legendary Technic Motors and Clutches
1,1,1,0,8288-1,Crawler Crane,2006,1,800,///!!!Crane!!!
1,1,1,0,8289-1,Fire Truck,2006,1,1035,//Crane
1,1,1,0,8292-1,Cherry Picker,2008,1,725,
1,1,1,0,8293-1,Power Functions Motor Set,2008,438,10,///!!!
1,1,1,0,8294-1,Excavator,2008,1,720,///!!!
1,1,1,0,8295-1,Telescopic Handler,2008,1,1182,///!!!
1,1,1,0,8297-1,Off-Roader,2008,1,1097,///!!!
